Code,Name,Price
HMA004,jersey,2150
HMA005,shafoon kaftan,2450
HMA008,jersey,2250
HMA0010,jersey,1950
HMA0011,NIDA,2650
HMA0012,jersey,1550
HMA0013,NIDA D PATI,3050
HMA0014,NIDA EMBR,3650
HMA0015,NIDA PATI,3050
HMA0016,NIDA SHAMOOS ,4450
HMA0017,KOREAN KAFTAN,2050
HMA0019,KOEAN SHAFOON,3650
HMA0022,NIDA SELF,3250
HMA0023,NIDA L DRESS,3250
HMA0027,NIDA MAKHNI,2675
HMA0030,NIDA SHARQIAA,2550
HMA0033,DUBAI DRESS,3350
HMA0034,NIDA F OPEN,2450
HMA0039,JERSEY CLOUR,3250
HMA0040,NIDA KAFTAN,3850
HMA0042,NIDA DUBAI,3550
HMA0044,NIDA DRESS MD,3550
HMA0046,NIDA CLOUR,3550
HMA0047,NIDA COLORN FENCY,3550
HMA0048,NIDA BAEN F OPEN,3850
HMA0049,NIDA DRESS  ,3950
HMA0050,NIDA MOON GALA,4050
HMA0057,NIDA PALLO,3450
HMA0062,NIDA DUBAI DRESS,3300
HMA0063,SELF PRINT DRESS,3850
HMA0073,NIDA DUBAI NET,3650
HMA0074,MAKHNI DUBAI,3550
HMA0075,FORMAL KAFTAN,2950
HMA0077,ziper dubai,2850
HMA0078,NIDA DMC,4350
HMA0081,NIDA DUBAI,1850
HMA0084,KAFTAN DMC,3450
HMA0093,BLACK AND COLOR FARMAL,3650
HMA0095,PRENT DUBAI,4250
HMA0096,FARMAL KAFTAN FO,2950
HMA0099,FENCY CALOR BAZOO,2850
HMA00100,JERSEY KAFTAN,4150
HMA00107,MUSTAKBIL FARMAR,3650
HMA00113,BRIDAL ABAYA,3950
HMA00116,NIDA GOWN,3400
HMA 00123,NECKLESS ABAYA ,3200
HMA00125,HJAB AL NISA,2900
HMA00131,NIDA VELVET ,1950
MHA00139,DULE SIDE ,2850
HMA00140,DUBAI KAFTAN,2650
HMA00143,NIDA XL,3450
HMA00144,FARMAL SHARQIAA,3950
HMA00145,TAYAB NIDA CLOUR,2850
HMA00146,NIDA CLOUR FENCI,2950
HMA00148,SILK ZAINAB ,2950
HMA00149,ZAINAB B CAFTAN,2250
HMA00150,SILK KAFTAN,2850
HMA00151,FARMAL ZAINAB,2650
HMA00157,NIDA SLUB F OPEN,4350
HMA00158,white silk,3850
HMA00159,VISKOS KAFTAN,3750
HMA00161,BROUCH BUTTERFLY,3850
HMA00163,NIDA COLOR FENCY ,2450
HMA00164,NIDA VELVET FENCY,2850
HMA00175,ZAIANB CHIFIOON,2850
HMA00177,FARMAL EMIRELA,2850
HMA00178,NIDA EMIRELA ASIAN,2850
HMA00181,BLACK F OPEN,2850
HMA00182,ZANAIB CAFTAN ,2750
HMA 00183,FORMAL STONE,4650
HMA00186,NIDA EMREILA,1850
HMA00187,CHIFOON FENCY CAFTAN,2250
HMA00188,JERSI BLACK,3750
HMA00189,JERSI KOREN,3950
HMA00190,NIDA MERILA,4250
HMA00192,CAFTAN VISKOS,4350
HMA00195,ZAINAB CHIFOON,2350
HMA00196,KAFTAN ARABIC,4350
HMA00197,EMRILA BIG FLAIR,3950
HMA00198,SELF PRINT NIDA V,4550
HMA00199,NIDA F O COLOR,3950
HMA00200,VISKOS DMC GOLD,4350
HMA00201,NIDA ARABIC CAFTAN,4350
HMA00202,NIDA REGULAR FANCY,3850
HMA00203,CAFFTAN CHIFOON,2950
HMA00204,DUBAI TIGER EMERILA,3950
HMA00205,LACE BIG FLAIR DUBAI,3950
HMA00206,LACE DUBAI BIG FLAIR,3950
HMA00207,FRONT LACE BIG FLAIR,3950
HMA00208,VISKOS COLOR KAFTAN,2950
HMA00209,JERSI CAFTAN DUBAI,2650
HMA00210,DEUL ZAINAB SUMMER ,2450